ceo,company_founded,job_title,cb_link,location,primary_organisation
 Harsh Pokharna ,1,Co-Founder and CEO,/person/harsh-pokharna-okcredit-india," Bangalore, Karnataka, India", OkCredit 
 Nitin Gupta ,5,Founder & CEO,/person/nitin-gupta," Noida, Uttar Pradesh, India", Vee 
 Sandeep Aggarwal ,2,Founder & CEO,/person/sandeep-aggarwal," Gurgaon, Haryana, India", Droom 
 Varun Dua ,2,CEO,/person/varun-dua," Mumbai, Maharashtra, India", Acko General Insurance 
 Sagar Daryani ,1,CEO & Co-Founder,/person/sagar-daryani," Kolkata, West Bengal, India", Wow! Momo 
 Vishal Gondal ,2,Founder & CEO,/person/vishal-gondal," Mumbai, Maharashtra, India", GOQii 
 Revant Bhate ,1,Co-Founder & CEO,/person/revant-bhate," Mumbai, Maharashtra, India", Mosaic Wellness 
 Mithun Sacheti ,1,CEO,/person/mithun-sacheti," Chennai, Tamil Nadu, India", CaratLane 
 Asish Mohapatra ,1,Co-Founder & CEO,/person/asish-mohapatra-2," Gurgaon, Haryana, India", OfBusiness 
 Bikky Khosla ,2,CEO,/person/bikky-khosla," Delhi, Delhi, India", tradeindia.com 
 Sameer Maheshwari ,2,Co-Founder and CEO,/person/sameer-maheshwari," Gurgaon, Haryana, India", 1mg 
 Pushkar Mukewar ,1,CEO & Co-founder,/person/pushkar-mukewar," Mumbai, Maharashtra, India", Drip Capital 
 Anant Goel ,1,CEO & Co-founder,/person/anant-goel," Gurgaon, Haryana, India", Milkbasket 
 Falguni Nayar ,1,Founder and CEO,/person/falguni-nayar," Mumbai, Maharashtra, India", Nykaa 
 Samar Singla ,3,Founder & CEO,/person/samar-singla," Chandigarh, Chandigarh, India", Jugnoo 
 Neeraj Bhargava ,5,"Founder, Senior Managing Director, Chairperson of Investment Committee & CEO",/person/neeraj-bhargava," Mumbai, Maharashtra, India", Zodius Capital 
 Prashan Agarwal ,1,CEO,/person/prashan-agarwal," Noida, Uttar Pradesh, India", Gaana 
 Sahil Sheth ,1,Founder & CEO,/person/sahil-sheth," Mumbai, Maharashtra, India", LIDO 
 Vishwavir Ahuja ,1,MD & CEO,/person/vishwavir-ahuja," Mumbai, Maharashtra, India", RBL Bank 
 Ashish Deora ,4,Founder & CEO,/person/ashish-deora," Mumbai, Maharashtra, India", Aurum Ventures 
 Karanvir Singh Shekhawat ,1,Founder & CEO,/person/karanvir-singh-shekhawat," Pune, Maharashtra, India", Pariksha 
 Natarajan Chandrasekaran ,—,CEO & MD,/person/n-chandrasekaran," Mumbai, Maharashtra, India", Tata Consultancy Services 
 Manish Taneja ,1,Co-Founder & CEO,/person/manish-taneja," Mumbai, Maharashtra, India", Purplle 
 Aloke Bajpai ,1,CEO & Co-Founder,/person/aloke-bajpai," Gurgaon, Haryana, India", ixigo 
 Ashwini Asokan ,2,CEO,/person/ashwini-asokan," Chennai, Tamil Nadu, India", Mad Street Den 
 Pashupathy Gopalan ,—,Co-Chairman & CEO,/person/pashupathy-gopalan," Chennai, Tamil Nadu, India", SunEdison 
 Arjun Rao ,—,CEO,/person/arjun-rao-2," Hyderabad, Andhra Pradesh, India", ValueLabs 
 Vijay Kumar ,—,CEO & Principal Officer,/person/vijay-kumar-d7b4," Pune, Maharashtra, India", Digit Insurance 
 Subham Charan ,2,CEO & Founder,/person/subham-charan," Bangalore, Karnataka, India", SolarClue 
 Evgeny Panfilov ,—,CEO,/person/evgeny-panfilov," Mumbai, Maharashtra, India", Wefast 
 Yasmin Shahin Shaikh ,3,CEO,/person/yasmin-shahin-shaikh," Hyderabad, Andhra Pradesh, India", Birbaboti 
 Pratul Shroff ,1,Founder & CEO,/person/pratul-shroff," Ahmedabad, Gujarat, India", eInfochips 
 Krishnan Vishwanathan ,1,CEO and Founder,/person/krishnan-vishwanathan," Mumbai, Maharashtra, India", Kissht 
 Vineet Rai ,2,CEO & Managing Director,/person/vineet-rai," Mumbai, Maharashtra, India", Aavishkaar Venture Capital 
 Sanjay Gupta ,1,CEO Global,/person/sanjay-gupta-2," Gurgaon, Haryana, India", English Helper 
 Ankur Agarwal ,3,Co-founder and CEO,/person/ankur-agarwal," Pune, Maharashtra, India", Clarion Technologies 
 Kashyap Deorah ,3,Founder and CEO,/person/kashyap-deorah," Delhi, Delhi, India", HyperTrack 
 Suhas Rajkumar ,1,Founder and CEO,/person/suhas-rajkumar," Bangalore, Karnataka, India", Simple Energy 
 Bhupinder Singh ,1,Founder & CEO,/person/bhupinder-singh-2," Mumbai, Maharashtra, India", InCred 
 Ashutosh Kumar ,2,Co-founder and CEO,/person/ashutosh-kumar," Mumbai, Maharashtra, India", Testbook.com 
 Dhruv Shringi ,1,Co-Founder & CEO,/person/dhruv-shringi," Gurgaon, Haryana, India", Yatra 
 Shantanu Deshpande ,1,CEO and Co-Founder,/person/shantanu-deshpande," Gurgaon, Haryana, India", Bombay Shaving Company 
 Anirudh Singla ,1,Founder & CEO,/person/anirudh-singla," Mumbai, Maharashtra, India", Pepper Content 
 Rahul Raj ,1,Co-Founder & CEO,/person/rahul-raj-337d," Mumbai, Maharashtra, India", Koinex 
 Uday Kotak ,3,"Founder, Managing Director & CEO",/person/uday-kotak," Mumbai, Maharashtra, India", Kotak Mahindra Bank 
 N Kamakodi ,—,Managing Director and CEO,/person/n-kamakodi," Mumbai, Maharashtra, India", City Union Bank 
 Rakesh Deshmukh ,1,Co-Founder & CEO,/person/rakesh-deshmukh," Mumbai, Maharashtra, India", Indus OS 
 Prakarsh Gagdani ,1,Founder and CEO,/person/prakarsh-gagdani," Mumbai, Maharashtra, India", 5Paisa 
 Prakash Bajpai ,1,"Founder, MD & CEO",/person/prakash-bajpai," Mumbai, Maharashtra, India", Tikona Infinet Limited 
 Sarvesh Agrawal ,1,Founder and CEO,/person/sarvesh-agrawal," Gurgaon, Haryana, India", Internshala 
