ceo,company_founded,job_title,cb_link,location,primary_organisation
 Sundararajan Krishnan ,3,Founder and CEO,/person/sundararajan-krishnan," Bangalore, Karnataka, India", BluArmor Helmets 
 Sudhir Kamath ,1,CEO & Co-Founder,/person/sudhir-kamath," Delhi, Delhi, India", 9stacks 
 Sarma BKP ,2,Founder & CEO,/person/sarma-bkp-2," Bangalore, Karnataka, India", Agilean Solutions Private Limited 
 Mukesh Bubna ,1,CEO,/person/mukesh-bubna," Mumbai, Maharashtra, India", Monexo 
 Abhinav Parashar ,1,Co-Founder & CEO,/person/abhinav-parashar," Bangalore, Karnataka, India", Digio 
 Anupam Bhide ,1,CEO & Founder,/person/anupam-bhide," Pune, Maharashtra, India", Calsoft Inc. 
 Anup Agarwal ,1,Founder & CEO,/person/anup-agarwal," Mumbai, Maharashtra, India", Mintifi 
 Mr. Sunil Chand Goyal ,—,Chief executive Officer (CEO),/person/mr--sunil-chand-goyal," Gurgaon, Haryana, India", MOlQ Pathology Lab 
 Manuj Vangipurapu ,1,Founder and CEO,/person/vangipurapu-vangipurapu," Hyderabad, Andhra Pradesh, India", Clinion 
 Pratyush Halen ,1,CEO & Co-Founder,/person/pratyush-halen," Mumbai, Maharashtra, India", Fingpay 
 Kunal Nandwani ,1,Founder & CEO,/person/kunal-nandwani," Chandigarh, Chandigarh, India", uTrade Solutions 
 Richik Nandi ,1,Co-Founder & CEO,/person/richik-nandi," Bangalore, Karnataka, India", PoshVine 
 Chaitanya Kumar ,1,CEO,/person/chaintanya-kumar," Hyderabad, Andhra Pradesh, India", IndustryARC 
 Divyam Goel ,1,"Founder, CEO",/person/divyam-goel," Bangalore, Karnataka, India", AttainU 
 Venkatesan Seshadri ,1,Co-Founder & CEO,/person/venkatesan-seshadri," Hyderabad, Andhra Pradesh, India", Flatpebble 
 Sanchit Sethi ,1,CEO & Co-Founder,/person/sanchit-sethi," Gurgaon, Haryana, India", Stay Uncle Hotels for couples in India 
 Ranjani Rao ,1,CEO,/person/srinivas-bhopal," Bangalore, Karnataka, India", Boston Technology Corporation (BTC) 
 Varun Sheth ,1,Founder & CEO,/person/varun-sheth," Mumbai, Maharashtra, India", Ketto 
 Arjun Pratap ,1,Founder and CEO,/person/arjun-pratap," Bangalore, Karnataka, India", EdGE Networks 
 Harish Rohokale ,1,Founder & CEO,/person/harish-rohokale," Pune, Maharashtra, India", Apptware 
 Adarsh Kumar ,1,Co-Founder and CEO,/person/adarsh-kumar-2," Bangalore, Karnataka, India", TagBox 
 Adi Godrej ,1,"Founder, CEO,MD &Chairman",/person/adi-godrej," Mumbai, Maharashtra, India", Godrej 
 Mangesh Panditrao ,1,CEO and Co-Founder,/person/mangesh-panditrao," Pune, Maharashtra, India", Shoptimize India 
 Neehar Cherabuddi ,2,Founder & CEO,/person/neehar-cherabuddi," Hyderabad, Andhra Pradesh, India", DoctorC 
 Paul Breloff ,1,Co-Founder & CEO,/person/paul-breloff-2," Mumbai, Maharashtra, India", Shortlist 
 Waqar Azmi ,2,Founder and CEO,/person/waqar-azmi," Mumbai, Maharashtra, India", Sutra People Solutions 
 Sumeet Verma ,1,Co-Founder and CEO,/person/sumeet-verma," Bangalore, Karnataka, India", Kopykitab.com 
 Sushant Arora ,1,Co-founder & CEO,/person/sushant-arora," Mumbai, Maharashtra, India", CleanMax Solar 
 Brotin Banerjee ,1,Managing Director & CEO,/person/brotin-banerjee," Mumbai, Maharashtra, India", Tata Value Homes 
 Shantanu Jha ,1,Co-Founder & CEO,/person/shantanu-jha," Mumbai, Maharashtra, India", Zooty 
 Nitesh Sinha ,1,Founder & CEO,/person/nitesh-sinha," Bangalore, Karnataka, India", Sacumen 
 Madhavi Shankar ,1,Co-Founder & CEO,/person/madhavi-shankar-2," Bangalore, Karnataka, India", SpaceBasic Inc. 
 Krishnan Nair ,1,Co-Founder and CEO,/person/krishnan-nair," Bangalore, Karnataka, India", GeekTrust 
 Mr. Sanket Khemuka ,—,Director & CEO - L7 Software Pvt. Ltd.,/person/mr--sanket-khemuka," Mumbai, Maharashtra, India", L7 Group Of Companies 
 Amit Monga ,2,CEO & Co-Founder,/person/amit-monga-2," Bangalore, Karnataka, India", Fitrrati 
 Shubham Maheshwari ,1,Managing Director & CEO,/person/shubham-maheshwari-9463," Gurgaon, Haryana, India", Being Chef 
 Rajiv Dingra ,1,"Founder, CEO",/person/rajiv-dingra," Mumbai, Maharashtra, India", WATConsult 
 Kiran Kumar Reddy ,1,Co-Founder & CEO @ Sendfast,/person/kiran-kumar-reddy," Hyderabad, Andhra Pradesh, India", SENDFAST 
 Amit Shukla ,2,Founder & CEO,/person/amit-shukla-2," Gurgaon, Haryana, India", Pursuite 
 Sheshgiri Kamath ,2,CEO & Co-Founder,/person/sheshgiri-kamath," Bangalore, Karnataka, India", Adjetter Media Network 
 Mohit Lalvani ,1,Co-Founder & CEO,/person/mohit-lalvani," Mumbai, Maharashtra, India", LivQuik 
 Sandeep Kishore ,1,CEO,/person/ganesh-natarajan," Pune, Maharashtra, India", Zensar Technologies 
 Bala Kandaswamy ,1,CEO & Products Manager,/person/bala-kandaswamy," Chennai, Tamil Nadu, India", CONTUS 
 Abhilash Narahari ,1,CEO & Co-Founder,/person/abhilash-narhari," Bangalore, Karnataka, India", Elanic 
 Nishant Garg ,1,Co Founder & CEO,/person/nishant-garg-2," Gurgaon, Haryana, India", Brick2wall.com 
 Prakash Kamat ,1,"Founder, Chairman and CEO",/person/prakash-kamat," Pune, Maharashtra, India", SoftLink International 
 Adam Khorakiwala ,1,Founder and CEO,/person/adam-khorakiwala," Mumbai, Maharashtra, India", mGuru 
 Saurabh Moody ,1,Founder & CEO,/person/saurabh-moody," Delhi, Delhi, India", RealBox Data Analytics 
 Abhishek Moharana ,1,Co Founder and CEO,/person/abhishek-moharana," Mumbai, Maharashtra, India", Trilyo 
 Shreekant Pawar ,1,CEO,/person/shreekant-pawar," Mumbai, Maharashtra, India", Diabeto 
 Yash Mehta ,3,Founder and CEO,/person/yash-mehta," Bangalore, Karnataka, India", Intellectus 
 Pratik Shah ,1,CEO,/person/pratik-shah-0b6a," Chennai, Tamil Nadu, India", specsmakers 
 Uma Ganesh ,1,Co-Founder & CEO,/person/uma-ganesh," Pune, Maharashtra, India", Global Talent Track 
 Preetam Rao ,1,CEO & Co-Founder,/person/preetam-rao," Gurgaon, Haryana, India", QuillHash Technologies 
 Suhas Dattatreya ,1,Ceo & Founder,/person/suhas-dattatreya," Bangalore, Karnataka, India", Claire.ai 
 Pratik Kanada ,1,CEO & Founder,/person/pratik-kanada," Ahmedabad, Gujarat, India", 360 Degree Technosoft 
 Malika Datt Sadani ,1,CEO & Co-Founder,/person/malika-datt-sadani-2," Gurgaon, Haryana, India", The​ ​Moms​ ​Co 
 Abhijit Gupta ,1,Co-Founder & CEO,/person/abhijit-gupta-2," Pune, Maharashtra, India", Praxify 
 Pankaj Judge ,1,Founder and CEO,/person/pankaj-judge," Noida, Uttar Pradesh, India", Chai Thela 
 Karan Tanna ,1,Founder & CEO,/person/karan-tanna," Mumbai, Maharashtra, India", Yellow Tie Hospitality 
 Pramod Hegde ,1,Co-Founder & CEO,/person/pramod-hegde," Bangalore, Karnataka, India", Bro4u.com 
 Ankit Maloo ,2,CEO,/person/ankit-maloo," Mumbai, Maharashtra, India", Noomi 
 Karthik K S ,2,CEO,/person/karthik-k-s," Bangalore, Karnataka, India", 24x7 Learning 
 Davesh Manocha ,1,Co-Founder & CEO,/person/davesh-manocha," Mumbai, Maharashtra, India", Juno Clinic 
 Balachandar R ,1,Founder & CEO,/person/balachandar-r," Chennai, Tamil Nadu, India", Wassup Laundry 
 Tarun Mishra ,1,Founder & CEO,/person/tarun-mishra," Mumbai, Maharashtra, India", Covacsis Technologies Pvt. Ltd. 
 Bhargav Errangi ,1,"CEO, Founder",/person/bhargav-errangi," Hyderabad, Andhra Pradesh, India", SPOYL 
 Amit Gupta ,1,Co-Founder and CEO,/person/amit-gupta-23," Indore, Madhya Pradesh, India", TradingBells 
 Ruchit Surati ,1,Founder & CEO,/person/ruchit-surati," Ahmedabad, Gujarat, India", Locanix 
 Jikku Abraham ,1,Founder & CEO,/person/jikku-abraham," Mumbai, Maharashtra, India", TAARAKA 
 Amit Koshal ,3,Founder and CEO,/person/amit-koshal," Gurgaon, Haryana, India", twid 
 Alok Arora ,1,Co-Founder & CEO,/person/alok-arora," Mumbai, Maharashtra, India", Mosambee 
 Nabin Roy ,3,Founder & CEO,/person/nabin-roy," Bangalore, Karnataka, India", SayFix 
 Jaideep Gupta ,1,Founder and CEO,/person/jaideep-gupta," Hyderabad, Andhra Pradesh, India", Univariety 
 Mithil Verma ,1,Founder and CEO,/person/mithil-verma," Bangalore, Karnataka, India", Oleic 
 Amanjot Malhotra ,1,Co-Founder & CEO of Partiko,/person/amanjot-malhotra," Gurgaon, Haryana, India", Partiko 
 Sadiya Naseem ,1,Founder & CEO,/person/sadiya-naseem," Noida, Uttar Pradesh, India", Glam Studios 
 Apoorv Shankar ,2,Co-Founder and CEO,/person/apoorv-shankar-2," Bangalore, Karnataka, India", Lazy Co. 
 Salil Panikkaveettil ,1,CEO & Co Founder,/person/salil-panikkaveettil," Bangalore, Karnataka, India", AdNabu 
 Kailash Katkar ,1,Founder & CEO,/person/kailash-katkar," Pune, Maharashtra, India", Quick Heal Technologies 
 Saravanan Shanmugam ,1,Managing Director & CEO,/person/saravanan-shanmugam," Chennai, Tamil Nadu, India", Saravanan Group Of Companies 
 Sandeep PERIWAL ,2,Founder CEO,/person/sandeep-periwal," Bangalore, Karnataka, India", 31West Global Services 
 Supreet Singh ,1,FOUNDER & CEO,/person/supreet-singh," Mumbai, Maharashtra, India", Altor Executive Search 
 Sushant Reddy ,2,Founder & CEO,/person/sushant-reddy," Mumbai, Maharashtra, India", AskArvi.com 
 Jitendra Emmani ,1,CEO & Co-Founder,/person/jitendra-emmani," Hyderabad, Andhra Pradesh, India", Picxy 
 Rajeev Krishnan ,1,Founder and CEO,/person/rajeev-krishnan," Chennai, Tamil Nadu, India", Playfiks 
 Madhumitha Uday Kumar ,1,Co-Founder and CEO,/person/madhumitha-uday-kumar," Mumbai, Maharashtra, India", The Indus Valley 
 Rohan Patnaik ,3,Co-founder and CEO,/person/rohan-patnaik," Bangalore, Karnataka, India", LivLush 
 Senthil Kumar Muthamizhan ,2,Founder and CEO,/person/senthil-kumar-muthamizhan," Chennai, Tamil Nadu, India", CultureMonkey 
 Kavan Antani ,1,Co-founder & CEO,/person/kavan-antani," Mumbai, Maharashtra, India", IndieFolio 
 Kapil Bardeja ,2,CEO & Co Founder,/person/kapil-bardeja," Noida, Uttar Pradesh, India", Vehant Technologies 
 Abhay Ranjan ,2,Founder and CEO,/person/abhay-ranjan," Gurgaon, Haryana, India", Teafinn 
 Ramesh Jogani ,—,Managing Director & CEO,/person/ramesh-jogani," Mumbai, Maharashtra, India", IPAL Fund Managers 
 Soumya Chatterjee ,1,Co-Founder & CEO,/person/soumya-chatterjee," Gurgaon, Haryana, India", EasyRewardz 
 Ashish Gupta ,2,Founder & CEO,/person/ashish-gupta-2," Gurgaon, Haryana, India", DocPrime 
 Vibhor Jain ,—,CEO,/person/vibhor-jain-2," Gurgaon, Haryana, India", Atlanta Healthcare 
 Abhishek Gupta ,1,Co-Founder & CEO,/person/abhishek-gupta-4," Noida, Uttar Pradesh, India", GreyKernel 
 Ganesh Venkatachalam ,—,CEO,/person/ganesh-venkatachalam," Hyderabad, Andhra Pradesh, India", Karvy Computershare 
 Anil Kumar ,1,Founder & CEO,/person/anil-kumar-23," Chennai, Tamil Nadu, India", Samunnati 
 Danish Ahmed ,3,Founder & CEO,/person/danish-ahmed-2," Gurgaon, Haryana, India", Shopsity 
 Rajesh Kaul ,1,Co-founder & CEO,/person/rajesh-kaul," Gurgaon, Haryana, India", Triotech 
 G V Kumar ,1,"Founder, CEO & Managing Director",/person/g-v-kumar," Hyderabad, Andhra Pradesh, India", XIUS 
 Hardika Shah ,2,CEO & Founder,/person/hardika-shah," Bangalore, Karnataka, India", Kitara Capital 
 Ashish Bhatia ,2,Founder & CEO,/person/ashish-bhatia-3," Gurgaon, Haryana, India", India Accelerator 
 Rina Nathani ,1,Founder & CEO,/person/rina-nathani," Mumbai, Maharashtra, India", FindURClass 
 Abhay Deshpande ,1,Founder & CEO,/person/abhay-d," Hyderabad, Andhra Pradesh, India", MartJack 
 Kapil Shelke ,1,CEO & Founder,/person/kapil-shelke," Pune, Maharashtra, India", Tork Motorcycles 
 Vikram Kumar ,1,CEO,/person/vikram-kumar-8," Hyderabad, Andhra Pradesh, India", Multiplier AI Solutions 
 Rajan Navani ,1,CEO & Founder,/person/rajan-navani," Pune, Maharashtra, India", JetSynthesys 
 Rachit Mathur ,2,Co Founder $ CEO,/person/rachit-mathur," Gurgaon, Haryana, India", FindYahan 
 Ramesh Somani ,1,Founder & CEO,/person/ramesh-somani," Mumbai, Maharashtra, India", Exhibit 
 Ravi Jagannathan ,1,MD & CEO,/person/ravi-jagannathan," Bangalore, Karnataka, India", YPAYCASH 
 Amit Goel ,1,Founder & CEO,/person/amit-goel-4," Noida, Uttar Pradesh, India", Just Relief Wellness Pvt Ltd 
 Sanjay Ghoshal ,3,Co-Founder & CEO,/person/sanjay-ghoshal," Mumbai, Maharashtra, India", GoCosy 
 Shrey Jain ,1,Co-Founder & CEO,/person/shrey-jain," Delhi, Delhi, India", SAS Online 
 Shantanu Rooj ,1,Founder & CEO,/person/shantanu-rooj," Mumbai, Maharashtra, India", Schoolguru 
 Lalit Pai ,1,CEO,/person/lalit-pai," Bangalore, Karnataka, India", Medwell Ventures 
 Kiran Voleti ,2,Founder & CEO,/person/kiran-voleti," Hyderabad, Andhra Pradesh, India", Dotndot 
 Srinivasa Munagala ,1,"Co-Founder, CEO & Managing Director",/person/babu-munagala," Vishakhapatnam, Andhra Pradesh, India", Zebi 
 Saurav Suman ,2,"CEO,Founder",/person/saurav-suman," Mumbai, Maharashtra, India", Timemytask 
 Sujay Santra ,1,Founder & CEO,/person/sujay-santra," Kolkata, West Bengal, India", iKure Techsoft 
 Reynold Fernandes ,—,CEO,/person/reynold-fernandes," Chennai, Tamil Nadu, India", Oriental Cuisines Pvt Ltd. 
 Raghavendra Prasad ,1,Founder and CEO,/person/raghavendra-prasad-2," Bangalore, Karnataka, India", Wagonfly 
 Pranay Jain ,1,Co-Founder and CEO,/person/pranay-jain," Pune, Maharashtra, India", Enterprise Bot 
 Pradeep Deviah ,—,Chairman & CEO,/person/pradeep-deviah," Bangalore, Karnataka, India", PDA TRADE FAIRS PVT LTD 
 Pavan Thatha ,2,CEO & Co-Founder,/person/thatha-pavan-kumar," Bangalore, Karnataka, India", ShieldSquare 
 Bhairav Shankar ,1,Co-Founder & CEO,/person/bhairav-shankar," Hyderabad, Andhra Pradesh, India", Avantari Technologies Private Limited 
 Kushal Kothari ,1,Co-Founder & CEO,/person/kushal-kothari," Mumbai, Maharashtra, India", Expowealth 
 Shubhankar Sengupta ,2,CEO & Owner,/person/shubhankar-sengupta," Kolkata, West Bengal, India", Arohan Financial 
 Anuj Ranjan ,—,"Managing Partner, CEO Middle East and Asia",/person/anuj-ranjan," Mumbai, Maharashtra, India", Brookfield Asset Management 
 N.S. Narendra ,1,Founder and CEO,/person/n-s-narendra," Bangalore, Karnataka, India", Firepro Systems 
 Samir Jasuja ,1,Founder & CEO,/person/samir-jasuja," Gurgaon, Haryana, India", PropEquity 
 Atul Mehra ,—,MD & Co CEO,/person/atul-mehra," Mumbai, Maharashtra, India", JM Financial 
 Sanjay Pradhan ,1,Founder & CEO,/person/sanjay-pradhan," Pune, Maharashtra, India", Max Secure Software 
 Mehul Rajput ,1,CEO & Founder,/person/mehul-rajput," Ahmedabad, Gujarat, India", MindInventory 
 Rachit Jain ,1,Co-Founder & CEO,/person/rachit-jain," Delhi, Delhi, India", Youth4work 
 Ashwin Krishnan ,3,Founder/CEO,/person/ashwin-krishnan-2," Bangalore, Karnataka, India", Airtory 
 Rahul Pathri ,1,CEO & Founder,/person/rahul-pathri," Hyderabad, Andhra Pradesh, India", docturnal 
 Priya Prakash ,1,Founder and CEO,/person/priya-prakash-3c00," Gurgaon, Haryana, India", HealthSetGo 
 Amit Kapoor ,—,President & CEO,/person/dr-amit-kapoor," Gurgaon, Haryana, India", Indian Council on Competitiveness 
 Srikar Reddy ,1,Co-Founder and CEO,/person/srikar-reddy," Hyderabad, Andhra Pradesh, India", Endless Robotics 
 Varun Gupta ,1,Founder & CEO,/person/varun-gupta-5," Bangalore, Karnataka, India", MeTripping 
 Govardhan Kunchapu ,1,Co-Founder and CEO,/person/govardhan-kunchapu," Bangalore, Karnataka, India", Koyakal 
 Dr. Zakir Laliwala ,1,Founder & CEO,/person/dr-zakir-laliwala," Ahmedabad, Gujarat, India", Attune World Wide 
 Abhiram Dukkipati ,1,CEO,/person/abhiram-dukkipati," Hyderabad, Andhra Pradesh, India", Magellan Life Sciences 
 Mr. Anant Agarwal ,—,Chief Executive Officer (CEO) of Surya Hospitals,/person/mr-anant-agarwal," Mumbai, Maharashtra, India", Surya Hospitals 
 Subhanu Saxena ,—,MD & Global CEO,/person/subhanu-saxena," Mumbai, Maharashtra, India", Cipla 
 Shekhar Purohit ,1,Founder & CEO,/person/shekhar-purohit," Mumbai, Maharashtra, India", TalentNext 
 Raj Kamal ,3,CEO and Founder,/person/raj-kamal-3e23," Pune, Maharashtra, India", KwikBilling 
 Aditya Mishra ,2,Founder & CEO,/person/aditya-mishra," Mumbai, Maharashtra, India", SwitchMe 
 Tanmay Ratnaparkhe ,1,CEO/Co-founder,/person/tanmay-ratnaparkhe," Pune, Maharashtra, India", Torqus Systems 
 Vikrant Ludhra ,1,CEO,/person/vikrant-ludhra," Gurgaon, Haryana, India", Alternative Path 
 Rahul Hari ,1,Founder & CEO,/person/rahul-hari," Gurgaon, Haryana, India", Satvacart 
 Uday Challu ,3,CEO,/person/uday-challu," Gurgaon, Haryana, India", iYogi 
 Prasad Puranik ,1,Founder & CEO,/person/prasad-puranik," Bangalore, Karnataka, India", Comprinno Technologies Pvt. Ltd. 
 CHERUKU SRIKANTH ,1,Founder & CEO,/person/cheruku-srikanth," Bangalore, Karnataka, India", IDOS - DIGITAL CFO 
 Pranav Zota ,1,Founder and CEO,/person/pranav-zota," Mumbai, Maharashtra, India", Pesave 
 Rahul Sharma ,1,CEO,/person/rahul-sharma-629e," Bangalore, Karnataka, India", AppScrip 
 Karan Behal ,1,Founder and CEO,/person/karan-behal," Mumbai, Maharashtra, India", PrettySecrets 
 Neeraj Aggarwala ,2,CEO,/person/neeraj-aggarwala-3855," Delhi, Delhi, India", Sportido 
 Mandeep Singh ,4,CEO and CTO,/person/mandeep-singh-d7db," Gurgaon, Haryana, India", ModFx Labs 
 Rakesh Dahiya ,1,CEO,/person/rakesh-dahiya," Bangalore, Karnataka, India", People10 Technologies 
 Amit Mishra ,1,Founder & CEO,/person/amit-mishra," Pune, Maharashtra, India", Interview Mocha 
 Ashok Kumar ,1,Founder & CEO,/person/ashok-kumar-ae33," Pune, Maharashtra, India", ZapFin Teknologies Pvt Ltd (DocBoyz) 
 Thakur Rahul Singh ,1,Co-Founder & CEO,/person/thakur-rahul-singh," Bangalore, Karnataka, India", Winkl 
 Kushagra Sinha ,1,CEO & Co-Founder,/person/kushagra-sinha," Bangalore, Karnataka, India", Jiny.io 
 Syed Zafar Imam ,2,CEO,/person/syed-zafar-imam," Kolkata, West Bengal, India", Zoom Web Media 
 Rivi Varghese ,1,Founder & CEO,/person/rivi-varghese," Bangalore, Karnataka, India", Clari5 (CustomerXPs) 
 Subrahmanya Rao Nattoja Shyara ,1,Founder and CEO,/person/subrahmanya-rao-nattoja-shyara," Bangalore, Karnataka, India", Discover Dollar 
 Aditya Tulsian ,2,CEO & Co-Founder,/person/aditya-tulsian," Gurgaon, Haryana, India", numberz 
 Akansh Khurana ,1,CEO,/person/akansh-khurana," Gurgaon, Haryana, India", The Healthy Billion 
 Maruthi Pathapati ,—,"Founder, CEO & Director",/person/maruthi-pathapati," Hyderabad, Andhra Pradesh, India", Vidcentum R&D 
 Sachin Sahni ,1,Founder & CEO,/person/sachin-sahni," Lucknow, Uttar Pradesh, India", Keeros 
 Godson Gera ,1,CEO and Co-Founder,/person/godson-gera," Hyderabad, Andhra Pradesh, India", Lintel Technologies Pvt Ltd 
 Pravin Bhandarkar ,1,Founder & CEO,/person/pravin-bhandarkar," Bangalore, Karnataka, India", RtBrick 
 Sunny Arora ,1,CEO & Creative Director | BrainMobi,/person/sunny-arora," Noida, Uttar Pradesh, India", BrainMobi 
 Srikanth Bolla ,2,Co-Founder & CEO,/person/srikanth-bolla," Hyderabad, Andhra Pradesh, India", Bollant 
 Ankush Katiyar ,1,Founder & CEO,/person/ankush-katiyar," Gurgaon, Haryana, India", TalkCharge Technologies Pvt Ltd 
 Pallav Bajjuri ,1,CEO & Co-Founder,/person/pallav-bajjuri-a7a9," Hyderabad, Andhra Pradesh, India", Kahaniya 
 Hari Thallapalli ,—,CEO,/person/hari-thallapalli," Chennai, Tamil Nadu, India", CallHealth Services 
 Kumar Srivatsan ,1,Founder & CEO,/person/kumar-srivatsan," Chennai, Tamil Nadu, India", OptaCredit 
 Sourabh Jain ,1,CEO,/person/sourabh-jain-a638," Indore, Madhya Pradesh, India", Reseller Mantra 
 Sudhanshu Goyal ,2,CEO,/person/sudhanshu-goyal," Bangalore, Karnataka, India", Positron Internet 
 Amit Ranjan ,1,Founder and CEO,/person/amit-ranjan-72fd," Noida, Uttar Pradesh, India", Mednexus Travel4Health Pvt Ltd. 
 Priya Maheshwari ,1,Co-Founder and CEO @Properji,/person/priya-maheshwari," Bangalore, Karnataka, India", Properji 
 Satjeet Singh Bedi ,1,Founder and CEO,/person/satjeet-singh-bedi," Noida, Uttar Pradesh, India", BookMyChotu 
 Kritidipta Lahkar ,2,Founder & CEO,/person/kritidipta-lahkar," Gurgaon, Haryana, India", Zopnik 
 Vivek Kaushik ,2,Co-Founder & CEO,/person/vivek-kaushik," Gurgaon, Haryana, India", Hungry Foal 
 Narendra Sen ,1,Founder & CEO,/person/mr-narendra-sen," Indore, Madhya Pradesh, India", RackBank Datacenters Pvt. Ltd 
 Bhavik Kumar ,1,Founder and CEO,/person/bhavik-kumar," Bangalore, Karnataka, India", Medibox 
 Manju S Murthy ,1,CEO & Co-founder,/person/manju-s-murthy," Bangalore, Karnataka, India", FortunePay 
 Govind Agrawal ,1,Co-Founder & CEO,/person/govind-agrawal," Indore, Madhya Pradesh, India", Anaxee Digital Runners Private Limited 
 Jegan Vincent ,—,Founder and CEO,/person/jegan-vincent," Chennai, Tamil Nadu, India", Boodskap 
 Sanjeev Sularia ,1,CEO and Co-Founder,/person/sanjeev-sularia," Mumbai, Maharashtra, India", Intelligence Node 
 Prateek Garg ,1,"Founder, CEO and Managing Director",/person/prateek-garg," Noida, Uttar Pradesh, India", Progressive Infotech 
 Nish Bhutani ,—,Founder and CEO,/person/nish-bhutani," Mumbai, Maharashtra, India", Indiginus 
 Anish Patel ,1,Founder and CEO,/person/anish-patel-6cf3," Chennai, Tamil Nadu, India", Infomance 
 Ramanathan Ramachandran ,2,Founder & CEO,/person/ramanathan-ramachandran," Chennai, Tamil Nadu, India", Inthree Access 
 Uzma Barlaskar ,1,CEO and Co-Founder,/person/uzma-barlaskar," Hyderabad, Andhra Pradesh, India", PatternEQ Inc. 
 Ashish Bhatia ,1,Founder & CEO,/person/ashish-bhatia-2," Delhi, Delhi, India", LabsAdvisor 
 Ravindra Kumar ,1,Co-Founder & CEO,/person/ravindra-kumar," Mumbai, Maharashtra, India", 2Soft Solutions Pvt Ltd 
 Anand Agarwal ,1,Founder & CEO,/person/anand-agarwal-2," Pune, Maharashtra, India", EZMove 
 Ankit Mishra ,1,Co-Founder & CEO,/person/ankit-mishra," Hyderabad, Andhra Pradesh, India", StoryXpress 
 Mausumi Acharyya ,2,"Founder, CEO & Technology Head",/person/mausumi-acharyya," Gurgaon, Haryana, India", ChironX 
 Satish Madhira ,—,CEO,/person/satish-madhira," Hyderabad, Andhra Pradesh, India", ZeMoSo Technologies 
 Vishu Gupta ,1,Founder & CEO,/person/vishu-gupta," Noida, Uttar Pradesh, India", Flutin 
 Jayant Goradia ,—,CEO,/person/jayant-goradia," Mumbai, Maharashtra, India", Savex Technologies 
 Tanmay Desai ,2,Co-founder & CEO,/person/tanmay-desai," Ahmedabad, Gujarat, India", Magnet 
 Vijay Singh ,1,CEO & Founder,/person/vijay-singh," Mumbai, Maharashtra, India", AaramShop 
 Prateek Singh ,1,Founder & CEO,/person/prateek-singh-4," Noida, Uttar Pradesh, India", BreviStay 
 Murali Bharadwaz ,1,Co-Founder & CEO,/person/murali-bharadwaz," Hyderabad, Andhra Pradesh, India", Click2Clinic Healthcare 
 Shiva Kumaran ,1,"Director, CEO & Founder",/person/shiva-kumaran," Chennai, Tamil Nadu, India", Sciflare Technologies 
 Sneha Priya ,1,Co-Founder and CEO,/person/sneha-priya," Chennai, Tamil Nadu, India", SP Robotic Works Pvt Ltd 
 Prasanth Garapati ,1,Co-Founder and CEO,/person/prasanth-garapati," Hyderabad, Andhra Pradesh, India", Commut 
 Nandhu Nagesh ,1,CEO & Co Founder,/person/nandhu-nagesh," Kochi, Kerala, India", Traveluxis.in 
 Sumeet Srivastava ,1,CEO,/person/sumeet-srivastava," Mumbai, Maharashtra, India", SPOCTO 
 Manoj Kanodia ,—,CEO,/person/manoj-kanodia," Mumbai, Maharashtra, India", Inspira Enterprise 
 Sushil Karampuri ,2,CEO,/person/sushil-karampuri," Hyderabad, Andhra Pradesh, India", eAbays Info Solutions 
 Manish Ranjan ,1,CEO,/person/manish-ranjan-2," Hyderabad, Andhra Pradesh, India", NanoHealth 
 Ranjith Kumar Diraviyam ,1,CEO,/person/ranjith-kumar-4," Bangalore, Karnataka, India", Bevywise Networks 
 Abhijit Mehta ,1,Co-Founder & CEO,/person/abhijit-mehta," Mumbai, Maharashtra, India", Adapty 
 Pradeep Kumar ,3,CEO & Founder,/person/pradeep-kumar-3," Chennai, Tamil Nadu, India", Slashsquare 
 Vikash Kumar Anand ,6,CEO,/person/yanavat-inc," Delhi, Delhi, India", Tripgation 
 Adarsh Sharma ,1,CEO,/person/adarsh-sharma," Gurgaon, Haryana, India", Plowns 
 Puneet Kaura ,—,Managing Director & CEO,/person/puneet-kaura-1bc4," Delhi, Delhi, India", Samtel Avionics 
 Namit Jain ,1,Founder & CEO,/person/namit-jain," Mumbai, Maharashtra, India", ONN Bikes 
 Manu Srikumar ,1,Founder & CEO,/person/manu-srikumar," Bangalore, Karnataka, India", guch 
 Prabhdeep Singh ,1,CEO & Co-Founder,/person/prabhdeep-singh-c3d5," Hyderabad, Andhra Pradesh, India", StanPlus 
 Shailesh Prithani ,1,Co-founder & CEO,/person/shailesh-prithani," Mumbai, Maharashtra, India", Doxper 
 Rana Atheya ,1,Founder & CEO,/person/rana-atheya," Gurgaon, Haryana, India", DogSpot 
 Mukul Agrawal ,1,Co-Founder & CEO,/person/mukul-agrawal," Bangalore, Karnataka, India", eTutorWorld Corporation 
 N.R. Pillai ,—,"CEO (Ex. GM, ONGC)",/person/n-r-pillai," Kochi, Kerala, India", Techshore Inspection Services 
 Sanjeev Menon ,1,Co Founder - CEO,/person/sanjeev-menon," Mumbai, Maharashtra, India", Light Information Systems 
 Ankush Singh ,1,"Co-Founder, CEO",/person/ankush-singh-singh," Mumbai, Maharashtra, India", Piggy 
 Angam Parashar ,1,Co-Founder & CEO,/person/angam-parashar," Gurgaon, Haryana, India", ParallelDots 
 Abhimanyu Lal ,—,CEO,/person/abhimanyu-lal," Mumbai, Maharashtra, India", Twyst 
